employeeId,date,hours,jobTitleCode,payTypeCode
61afe698d8527b018498632f,2026-04-01,7.39,10,3
60356dad72aa500016d568fd,2026-04-01,7.5,9,3
682e734f2635b972aacdc1f8,2026-04-01,7.85,9,3
60356dad72aa500016d568fd,2026-04-01,1.9,9,3
60356dad72aa500016d568fd,2026-04-02,5.55,9,3
61afe698d8527b018498632f,2026-04-01,1.98,10,3
61afe698d8527b018498632f,2026-04-02,5.21,10,3
6157b715171b0f0189d78aa5,2026-04-02,7.35,10,3
60356dad72aa500016d568fd,2026-04-02,7.6,9,3
61afe698d8527b018498632f,2026-04-02,3.67,10,3
61afe698d8527b018498632f,2026-04-03,5.45,10,3
6157b715171b0f0189d78aa5,2026-04-02,1.97,10,3
6157b715171b0f0189d78aa5,2026-04-03,5.58,10,3
60356dad72aa500016d568fd,2026-04-02,1.98,9,3
60356dad72aa500016d568fd,2026-04-03,5.84,9,3
682e734f2635b972aacdc1f8,2026-04-03,7.57,9,3
6157b715171b0f0189d78aa5,2026-04-03,7.45,10,3
682e734f2635b972aacdc1f8,2026-04-03,7.62,9,3
61dcbc7b1f1796018ae5df47,2026-04-03,9.07,9,3
61afe698d8527b018498632f,2026-04-03,7.04,10,3
60356dad72aa500016d568fd,2026-04-03,2.13,9,3
60356dad72aa500016d568fd,2026-04-04,6.01,9,3
61afe698d8527b018498632f,2026-04-03,1.98,10,3
61afe698d8527b018498632f,2026-04-04,5.47,10,3
61dcbc7b1f1796018ae5df47,2026-04-04,9.15,9,3
664a5ada53f8a9d7f323208e,2026-04-04,6.97,9,3
664a5ada53f8a9d7f323208e,2026-04-04,7.94,9,3
677f82a1f75c101b277eeee9,2026-04-04,8.24,9,3
6157b715171b0f0189d78aa5,2026-04-04,7.67,10,3
666b731c53f8a9d7f38b9436,2026-04-04,5.9,10,3
666b731c53f8a9d7f38b9436,2026-04-05,5.5,10,3
61afe698d8527b018498632f,2026-04-04,3.53,10,3
61afe698d8527b018498632f,2026-04-05,5.12,10,3
5f9a9a05e3a95f001608fee0,2026-04-04,2.15,9,3
5f9a9a05e3a95f001608fee0,2026-04-05,5.3,9,3
6157b715171b0f0189d78aa5,2026-04-04,1.98,10,3
6157b715171b0f0189d78aa5,2026-04-05,5.71,10,3
664a5ada53f8a9d7f323208e,2026-04-05,7.72,9,3
677f82a1f75c101b277eeee9,2026-04-05,7.1,9,3
6157b715171b0f0189d78aa5,2026-04-05,7.64,10,3
664a5ada53f8a9d7f323208e,2026-04-05,7.44,9,3
61afe698d8527b018498632f,2026-04-05,7.04,10,3
69c5a60967779e43882cc725,2026-04-05,2.1,10,3
69c5a60967779e43882cc725,2026-04-06,5.5,10,3
61afe698d8527b018498632f,2026-04-05,1.98,10,3
61afe698d8527b018498632f,2026-04-06,5.51,10,3
677f82a1f75c101b277eeee9,2026-04-06,7.59,9,3
621f7a85ca16ef01aace573d,2026-04-06,7.6,9,3
